horizon,fold,n_train_subjects,n_test_subjects,auroc,auprc,f1
all,0,169,43,0.7019704433497537,0.5225876108018965,0.6
all,1,169,43,0.5591133004926108,0.37965347162052165,0.47368421052631576
all,2,170,42,0.6259946949602122,0.45006665575227445,0.5161290322580645
all,3,170,42,0.5198938992042441,0.3710475439625237,0.4117647058823529
all,4,170,42,0.6785714285714285,0.5072181166663696,0.5
≤3mo,0,35,9,0.7,0.8083333333333333,0.3333333333333333
≤3mo,1,35,9,0.19999999999999996,0.36547619047619045,0.2222222222222222
≤3mo,2,35,9,0.7000000000000001,0.7986111111111112,0.5714285714285714
≤3mo,3,35,9,0.65,0.6845238095238095,0.5714285714285714
≤3mo,4,36,8,0.625,0.6220238095238095,0.5714285714285714
≤6mo,0,73,19,0.5568181818181819,0.48737373737373735,0.4444444444444444
≤6mo,1,74,18,0.7625000000000001,0.735906862745098,0.7058823529411765
≤6mo,2,74,18,0.45000000000000007,0.44585969585969587,0.4
≤6mo,3,74,18,0.375,0.3900006855889209,0.25
≤6mo,4,73,19,0.6222222222222222,0.5581908831908833,0.6666666666666666
≤12mo,0,128,32,0.65,0.6836526964542392,0.5
≤12mo,1,128,32,0.5416666666666667,0.46531092124545637,0.43478260869565216
≤12mo,2,128,32,0.5497835497835498,0.42642632487130094,0.34782608695652173
≤12mo,3,128,32,0.525,0.5798483364138036,0.42857142857142855
≤12mo,4,128,32,0.5083333333333333,0.45732962667526633,0.3333333333333333
