horizon,held_out,n_train_subjects,n_test_subjects,auroc,auprc
all,FIN,141,71,0.4292527821939586,0.4642125683036179
all,EST,141,71,0.5128205128205129,0.3810863756010185
all,RUS,142,70,0.6209677419354839,0.1770581501831502
≤3mo,FIN,20,24,0.5454545454545455,0.5783205924510272
≤3mo,EST,27,17,0.6666666666666667,0.657318722943723
≤6mo,FIN,53,39,0.6157894736842106,0.7058440718527295
≤6mo,EST,61,31,0.5299145299145299,0.7137249593541672
≤6mo,RUS,70,22,0.4736842105263158,0.1606060606060606
≤12mo,FIN,104,56,0.4636015325670498,0.5418790865176277
≤12mo,EST,112,48,0.520979020979021,0.5191144563117235
≤12mo,RUS,104,56,0.453125,0.14346793053689605
